field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
HC b_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.284835274860951,-0.8920330954663793,0.0,0.0,-0.8920330954663793,0.19889945001698453
HC b_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC b_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1571001746187246,-0.8287100231967351,0.0,0.0,-0.8287100231967351,0.2052698352375485
HC b_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2111715108912005,-0.8509553643582023,0.0,0.0,-0.8509553643582023,0.2017773761195858
HC b_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399775706066417,-0.9094410358457727,0.0,0.0,-0.9094410358457727,0.2976011737916875
HC b_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6043461389365591,-0.6777086576706617,0.0,0.0,-0.6777086576706617,0.3398207660825573
HC b_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3002193036957868,-0.5543553045663928,0.0,0.0,-0.5543553045663928,0.09426817448858982
HC b_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249176036743385,-1.0214361966702088,0.0,0.0,-1.0214361966702088,0.23785794922540385
HC b_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9175824399618607,-0.7230063511924875,0.0,0.0,-0.7230063511924875,0.23166324668470592
HC c_1,0.0,0.0,0.0,0.0,0.0,-0.19680305626451997,-1.652425510202437,0.4449209235132105,0.0,-1.652425510202437,2.140181979493927,0.05063351583837127,0.0,0.4449209235132105,0.05063351583837127,-0.016361333078858648
HC c_10,0.0,0.0,0.0,0.0,0.0,-0.10199833639572163,-0.05190038902835048,0.38399693439066257,0.0,-0.05190038902835048,-0.02618356895103505,-3.757801722941729,0.0,0.38399693439066257,-3.757801722941729,0.0015696085601537028
HC c_11,0.0,0.0,0.0,0.0,0.0,2.1931549562602313,-1.0168979298533238,0.1694676008097874,0.0,-1.0168979298533238,0.897748622561522,-0.567126230173061,0.0,0.1694676008097874,-0.567126230173061,0.1390096141556931
HC c_12,0.0,0.0,0.0,0.0,0.0,-0.127621497628966,-0.5933068470120888,-1.2715178154060256,0.0,-0.5933068470120888,3.8561748479869054,-0.010287556533670927,0.0,-1.2715178154060256,-0.010287556533670927,-0.01038718757059716
HC c_13,0.0,0.0,0.0,0.0,0.0,2.036933564216528,-2.6545127335669725,0.3963897929920781,0.0,-2.6545127335669725,1.7880340138047566,0.09978279490190749,0.0,0.3963897929920781,0.09978279490190749,-0.04140856083011776
HC c_14,0.0,0.0,0.0,0.0,0.0,-0.09517985719463833,-4.133359626088903,-0.1090187476605933,0.0,-4.133359626088903,0.8080157460016127,-0.5933505608225292,0.0,-0.1090187476605933,-0.5933505608225292,0.1836739153519295
HC c_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6965691575762705,0.6022406810304638,0.0,0.0,0.6022406810304638,-0.022076105842901438
HC c_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.690036357813501,-2.7089395767405655,0.0,0.0,-2.7089395767405655,0.003083736387656438
HC c_2,0.0,0.0,0.0,0.0,0.0,-0.17078782557661892,-4.024077821224532,-0.05385752974715881,0.0,-4.024077821224532,1.3455045423889525,-0.6477753626281808,0.0,-0.05385752974715881,-0.6477753626281808,0.11708462422766723
HC c_3,0.0,0.0,0.0,0.0,0.0,0.9530598107917562,-0.933935395070454,-0.0819324635344995,0.0,-0.933935395070454,1.1337526338809423,-0.6704757453038739,0.0,-0.0819324635344995,-0.6704757453038739,0.1443783696410516
HC c_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8630986919233955,-0.7802231261211198,0.0,0.0,-0.7802231261211198,0.2518531188370484
HC c_5,0.0,0.0,0.0,0.0,0.0,-0.20202983617437886,-4.055961838471483,-0.15146690458044784,0.0,-4.055961838471483,1.2961458163321875,-0.6231257862919766,0.0,-0.15146690458044784,-0.6231257862919766,0.11823961539292044
HC c_6,0.0,0.0,0.0,0.0,0.0,-0.9199193305958521,-1.9449841671675212,0.16376401158820586,0.0,-1.9449841671675212,1.2165687694935379,-0.19699283369991666,0.0,0.16376401158820586,-0.19699283369991666,0.010515856336767906
HC c_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9468334602973631,-0.83155909332569,0.0,0.0,-0.83155909332569,0.23054560135208332
HC c_8,0.0,0.0,0.0,0.0,0.0,-0.11823055684112972,-2.7636964271517956,0.38029508842533977,0.0,-2.7636964271517956,1.1821762185247553,-0.6943842089193267,0.0,0.38029508842533977,-0.6943842089193267,0.14870863781879481
HC c_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4004533547304368,-0.8334642405958992,0.0,0.0,-0.8334642405958992,0.14661624820467908
